NAME,RARITY,TYPE,STAT,DESCRIPTION
Skyward Atlas,5 Star,Catalyst,ATK Percentage,"A cloud atlas symbolizing Dvalin and his former master, the Anemo Archon. It details the winds and clouds of the northern regions and contains the powers of the sky and wind."
Skyward Blade,5 Star,Sword,Energy Recharge,"The sword of a knight that symbolizes the restored honor of Dvalin. The blessings of the Anemo Archon rest on the fuller of the blade, imbuing the sword with the powers of the sky and the wind."
Skyward Pride,5 Star,Claymore,Energy Recharge,"A claymore that symbolizes the pride of Dvalin soaring through the skies. When swung, it emits a deep hum as the full force of Dvalin's command of the sky and the wind is unleashed."
Amenoma Kageuchi,4 Star,Sword,ATK Percentage,"A blade custom made for a famed samurai who could strike down a tengu warrior, known for their incredible agility, in midair."
Lost Prayer to the Sacred Winds,5 Star,Catalyst,CRIT Rate,An educational tome written by anonymous early inhabitants who worshiped the wind. It has been blessed by the wind for its faithfulness and influence over the millennia.
Dodoco Tales,4 Star,Catalyst,ATK Percentage,"A children's book filled with childish short stories at which one cannot help but laugh. Even those readers who have long reached adulthood cannot help but be absorbed by the innocent, naive little adventures portrayed within."
Kitain Cross Spear,4 Star,Polearm,Elemental Mastery,A special lance that was once used by a famed warrior who guarded the Tatarigami on Yashiori Island.
Primordial Jade Winged-Spear,5 Star,Polearm,CRIT Rate,"A jade polearm made by the archons, capable of slaying ancient beasts."
Fillet Blade,3 Star,Sword,ATK Percentage,"A sharp filleting knife. The blade is long, thin, and incredibly sharp."
Pocket Grimoire,2 Star,Catalyst,,A carefully compiled notebook featuring the essentials needed to pass a magic exam.
Recurve Bow,3 Star,Bow,HP Percentage,"It is said that this bow can shoot down eagles in flight, but ultimately how true that is depends on the skill of the archer."
Seasoned Hunter's Bow,2 Star,Bow,,A bow that has been well-polished by time and meticulously cared for by its owner. It feels almost like an extension of the archer's arm.
Lithic Spear,4 Star,Polearm,ATK Percentage,A spear forged from the rocks of the Guyun Stone Forest. Its hardness knows no equal.
Lithic Blade,4 Star,Claymore,ATK Percentage,A greatsword carved and chiseled from the very bedrock of Liyue.
Lion's Roar,4 Star,Sword,ATK Percentage,A sharp blade with extravagant carvings that somehow does not compromise on durability and sharpness. It roars like a lion as it cuts through the air.
Dragon's Bane,4 Star,Polearm,Elemental Mastery,"A polearm decorated with an entwining golden dragon. Light and sharp, this weapon may very well kill dragons with ease."
Solar Pearl,4 Star,Catalyst,CRIT Rate,"A dull, golden pearl made of an unknown substance that harbors the light of the sun and the moon and pulses with a warm strength."
Cool Steel,3 Star,Sword,ATK Percentage,A reliable steel-forged weapon that serves as a testament to the great adventures of its old master.
Deathmatch,4 Star,Polearm,CRIT Rate,A sharp crimson polearm that was once a gladiator's priceless treasure. Its awl has been stained by the blood of countless beasts and men.
Polar Star,5 Star,Bow,CRIT Rate,A pristine bow that is as sharp as the glaciers of the far north.
Messenger,3 Star,Bow,CRIT DMG,A basic wooden bow. It is said to have once been used as a tool for long-distance communication.
Old Merc's Pal,2 Star,Claymore,,A battle-tested greatsword that has seen better days and worse.
Debate Club,3 Star,Claymore,ATK Percentage,A handy club made of fine steel. The most persuasive line of reasoning in any debater's arsenal.
Everlasting Moonglow,5 Star,Catalyst,HP Percentage,"A string of lovely jasper from the deep sea. It shines with a pure radiance like that of the moon, and just as ever-distant."
Mappa Mare,4 Star,Catalyst,Elemental Mastery,A nautical chart featuring nearby currents and climates that somehow found its way into Liyue via foreign traders.
"""The Catch""",4 Star,Polearm,Energy Recharge,"In the distant past, this was the beloved spear of a famed Inazuman bandit."
